"","Species","Genus","Family","meanWD","WD_level","IUCN"
"267","Uapaca_sansibarica","Uapaca","Phyllanthaceae",0.626341558441558,"genus","LC"
"268","Hylodendron_gabunense","Hylodendron","Fabaceae",0.787,"genus","LC"
"269","Hypselodelphys_violacea","Hypselodelphys","Marantaceae",0.595714885285868,"dataset",NA
"270","Irvingia_excelsa","Irvingia","Irvingiaceae",0.819569444444444,"genus",NA
"271","Isolona_hexaloba","Isolona","Annonaceae",0.595714885285868,"dataset","LC"
"272","Landolphia_villosa","Landolphia","Apocynaceae",0.595714885285868,"dataset",NA
"273","Leea_guineensis","Leea","Vitaceae",0.57,"genus",NA
"274","Manilkara_letouzeyi","Manilkara","Sapotaceae",0.885127236652237,"genus",NA
"275","Maranthes_glabra","Maranthes","Chrysobalanaceae",0.830333333333333,"genus","LC"
"276","Marantochloa_filipes","Marantochloa","Marantaceae",0.595714885285868,"dataset",NA
"277","Microdesmis_keayana","Microdesmis","Pandaceae",0.595714885285868,"dataset",NA
"278","Milicia_excelsa","Milicia","Moraceae",0.555998518518519,"genus","LC"
"279","Monodora_myristica","Monodora","Annonaceae",0.49,"genus","LC"
"280","Palisota_ambigua","Palisota","Commelinaceae",0.595714885285868,"dataset",NA
"281","Palisota_hirsuta","Palisota","Commelinaceae",0.595714885285868,"dataset",NA
"282","Palisota_thollonii","Palisota","Commelinaceae",0.595714885285868,"dataset",NA
"283","Pancovia_laurentii","Pancovia","Sapindaceae",0.595714885285868,"dataset",NA
"284","Pleiocarpa_mutica","Pleiocarpa","Apocynaceae",0.595714885285868,"dataset","LC"
"285","Psychotria_arnoldiana","Psychotria","Rubiaceae",0.5636,"genus",NA
"286","Pterocarpus_soyauxii","Pterocarpus","Fabaceae",0.62688578042328,"genus",NA
"287","Saba_comorensis","Saba","Apocynaceae",0.595714885285868,"dataset",NA
"288","Nauclea_pobeguinii","Nauclea","Rubiaceae",0.565472551602986,"genus",NA
"289","Sarcophrynium_brachystachyum","Sarcophrynium","Marantaceae",0.595714885285868,"dataset",NA
"290","Sarcophrynium_prionogonium","Sarcophrynium","Marantaceae",0.595714885285868,"dataset",NA
"291","Sorindeia_grandifolia","Sorindeia","Anacardiaceae",0.56,"genus","LC"
"292","Tabernaemontana_crassa","Tabernaemontana","Apocynaceae",0.526071428571429,"genus","LC"
"293","Tabernaemontana_penduliflora","Tabernaemontana","Apocynaceae",0.526071428571429,"genus",NA
"294","Tieghemella_africana","Tieghemella","Sapotaceae",0.584907407407407,"genus","EN"
"295","Tessmannia_anomala","Tessmannia","Fabaceae",0.7865,"genus","LC"
"296","Tiliacora_bequaertii","Tiliacora","Menispermaceae",0.595714885285868,"dataset",NA
"297","Trichilia_monadelpha","Trichilia","Meliaceae",0.644092948717949,"genus","LC"
"298","Trichoscypha_oddonii","Trichoscypha","Anacardiaceae",0.6022,"genus","LC"
"299","Triclisia_dictyophylla","Triclisia","Menispermaceae",0.595714885285868,"dataset",NA
"300","Triclisia_patens","Triclisia","Menispermaceae",0.595714885285868,"dataset",NA
"301","Uapaca_pynaertii","Uapaca","Phyllanthaceae",0.626341558441558,"genus",NA
"302","Zanha_golungensis","Zanha","Sapindaceae",0.7945,"genus","LC"
"303","Uvariastrum_pierreanum","Uvariastrum","Annonaceae",0.595714885285868,"dataset","LC"
"304","Gambeya_gorungosana","Gambeya","Sapotaceae",0.595714885285868,"dataset",NA
"305","Solanum_terminale","Solanum","Solanaceae",0.411857142857143,"genus",NA
"306","Balanites_wilsoniana","Balanites","Zygophyllaceae",0.661777777777778,"genus","LC"
"307","Blighia_unijugata","Blighia","Sapindaceae",0.68525,"genus","LC"
"308","Chaetachme_aristata","Chaetachme","Ulmaceae",0.595714885285868,"dataset","LC"
"309","Fagaropsis_angolensis","Fagaropsis","Rutaceae",0.504,"genus",NA
"310","Ficus_saussureana","Ficus","Moraceae",0.405534661835749,"genus","LC"
