"Plant_Species_Corrected","Plant_Genus","Plant_Species_Generic","Plant_Family_Generic"
"Manniophyton_fulvum","Manniophyton","Plant_297","Family_37"
"Maprounea_membranacea","Maprounea","Plant_298","Family_37"
"Mareya_micrantha","Mareya","Plant_299","Family_37"
"Mareyopsis_longifolia","Mareyopsis","Plant_300","Family_37"
"Neoboutonia_macrocalyx","Neoboutonia","Plant_301","Family_37"
"Neoboutonia_melleri","Neoboutonia","Plant_302","Family_37"
"Plagiostyles_africana","Plagiostyles","Plant_303","Family_37"
"Ricinodendron_heudelotii","Ricinodendron","Plant_304","Family_37"
"Shirakiopsis_aubrevillei","Shirakiopsis","Plant_305","Family_37"
"Shirakiopsis_elliptica","Shirakiopsis","Plant_306","Family_37"
"Tetrorchidium_didymostemon","Tetrorchidium","Plant_307","Family_37"
"Tragia_furialis","Tragia","Plant_308","Family_37"
"Afzelia_africana","Afzelia","Plant_309","Family_38"
"Afzelia_bella","Afzelia","Plant_310","Family_38"
"Afzelia_bipindensis","Afzelia","Plant_311","Family_38"
"Afzelia_pachyloba","Afzelia","Plant_312","Family_38"
"Afzelia_quanzensis","Afzelia","Plant_313","Family_38"
"Aganope_stuhlmannii","Aganope","Plant_314","Family_38"
"Alantsilodendron_pilosum","Alantsilodendron","Plant_315","Family_38"
"Albizia_dinklagei","Albizia","Plant_316","Family_38"
"Albizia_ferruginea","Albizia","Plant_317","Family_38"
"Albizia_grandibracteata","Albizia","Plant_318","Family_38"
"Albizia_gummifera","Albizia","Plant_319","Family_38"
"Albizia_harveyi","Albizia","Plant_320","Family_38"
"Alysicarpus_glumaceus","Alysicarpus","Plant_321","Family_38"
"Angylocalyx_oligophyllus","Angylocalyx","Plant_322","Family_38"
"Angylocalyx_pynaertii","Angylocalyx","Plant_323","Family_38"
"Anthonotha_cladantha","Anthonotha","Plant_324","Family_38"
"Anthonotha_crassifolia","Anthonotha","Plant_325","Family_38"
"Anthonotha_fragrans","Anthonotha","Plant_326","Family_38"
"Anthonotha_macrophylla","Anthonotha","Plant_327","Family_38"
"Anthonotha_noldeae","Anthonotha","Plant_328","Family_38"
"Baphia_pubescens","Baphia","Plant_329","Family_38"
"Berlinia_bracteosa","Berlinia","Plant_330","Family_38"
"Bobgunnia_fistuloides","Bobgunnia","Plant_331","Family_38"
