"","Species","Genus","Family","Body_Mass","Generation_Length","IUCN_Status","Habitat","Taxa"
"175","Nigrita_canicapillus","Nigrita","Estrildidae",18,3,"LC","Forest","Small_birds"
"176","Nigrita_fusconotus","Nigrita","Estrildidae",10,3,"LC","Forest","Small_birds"
"177","Nigrita_luteifrons","Nigrita","Estrildidae",13,3,"LC","Mixed","Small_birds"
"178","Onychognathus_fulgidus","Onychognathus","Sturnidae",120,4.1,"LC","Forest","Large_birds"
"179","Onychognathus_tenuirostris","Onychognathus","Sturnidae",130,4.1,"LC","Mixed","Large_birds"
"180","Onychognathus_walleri","Onychognathus","Sturnidae",80,4.1,"LC","Forest","Small_birds"
"181","Oriolus_auratus","Oriolus","Oriolidae",66,3.7,"LC","Mixed","Small_birds"
"182","Oriolus_brachyrynchus","Oriolus","Oriolidae",50,3.7,"LC","Mixed","Small_birds"
"183","Oriolus_nigripennis","Oriolus","Oriolidae",55,3.7,"LC","Forest","Small_birds"
"184","Oriolus_percivali","Oriolus","Oriolidae",65,3.7,"LC","Forest","Small_birds"
"185","Pan_paniscus","Pan","Hominidae",39000,24,"EN","Forest","Apes"
"186","Pan_troglodytes","Pan","Hominidae",45000,25,"EN","Mixed","Apes"
"187","Papio_anubis","Papio","Cercopithecidae",17000,10.65,"LC","Mixed","Monkeys"
"188","Paraxerus_boehmi","Paraxerus","Sciuridae",150,3,"LC","Mixed","Rodents"
"189","Paraxerus_poensis","Paraxerus","Sciuridae",200,3.5,"LC","Mixed","Rodents"
"190","Parmoptila_woodhousei","Parmoptila","Estrildidae",9,3,"LC","Forest","Small_birds"
"191","Philantomba_maxwellii","Philantomba","Bovidae",6500,4.8,"LC","Mixed","Ungulate"
"192","Philantomba_monticola","Philantomba","Bovidae",4900,4.5,"LC","Forest","Ungulate"
"193","Phoenicurus_phoenicurus","Phoenicurus","Muscicapidae",15,4.1,"LC","Mixed","Small_birds"
"194","Pholia_sharpii","Pholia","Sturnidae",47,4.1,"LC","Forest","Small_birds"
"195","Phyllastrephus_albigularis","Phyllastrephus","Pycnonotidae",25,4.5,"LC","Forest","Small_birds"
"196","Phyllastrephus_cabanisi","Phyllastrephus","Pycnonotidae",33,4.5,"LC","Mixed","Small_birds"
"197","Phyllastrephus_flavostriatus","Phyllastrephus","Pycnonotidae",25,4.3,"LC","Mixed","Small_birds"
"198","Phyllastrephus_hypochloris","Phyllastrephus","Pycnonotidae",25,4.5,"LC","Mixed","Small_birds"
"199","Phylloscopus_budongoensis","Phylloscopus","Phylloscopidae",8,3.6,"LC","Forest","Small_birds"
"200","Phylloscopus_trochilus","Phylloscopus","Phylloscopidae",9,3.5,"LC","Mixed","Small_birds"
"201","Cercopithecus_erythrogaster","Piliocolobus","Cercopithecidae",8059,10,"EN","Forest","Monkeys"
"202","Piliocolobus_temmincki","Piliocolobus","Cercopithecidae",8059,10,NA,"Forest","Monkeys"
"203","Piliocolobus_tephrosceles","Piliocolobus","Cercopithecidae",8059,10,"EN","Forest","Monkeys"
"204","Piliocolobus_tholloni","Piliocolobus","Cercopithecidae",8059,9.5,"VU","Forest","Monkeys"
"205","Ploceus_baglafecht","Ploceus","Ploceidae",30,4,"LC","Mixed","Small_birds"
"206","Ploceus_bannermani","Ploceus","Ploceidae",30,3.6,"VU","Forest","Small_birds"
"207","Ploceus_bicolor","Ploceus","Ploceidae",35,4,"LC","Mixed","Small_birds"
"208","Ploceus_brachypterus","Ploceus","Ploceidae",25,3.4,"LC","Mixed","Small_birds"
"209","Ploceus_cucullatus","Ploceus","Ploceidae",38,4.2,"LC","Mixed","Small_birds"
"210","Ploceus_insignis","Ploceus","Ploceidae",27,4,"LC","Forest","Small_birds"
"211","Ploceus_melanocephalus","Ploceus","Ploceidae",26,4,"LC","Mixed","Small_birds"
"212","Ploceus_nigerrimus","Ploceus","Ploceidae",35,4,"LC","Mixed","Small_birds"
"213","Ploceus_nigricollis","Ploceus","Ploceidae",25,3.4,"LC","Mixed","Small_birds"
"214","Ploceus_tricolor","Ploceus","Ploceidae",35,4,"LC","Mixed","Small_birds"
"215","Poeoptera_lugubris","Poeoptera","Sturnidae",40,4.1,"LC","Mixed","Small_birds"
"216","Poeoptera_stuhlmanni","Poeoptera","Sturnidae",40,4.1,"LC","Forest","Small_birds"
"217","Pogoniulus_atroflavus","Pogoniulus","Lybiidae",17,8.5,"LC","Mixed","Small_birds"
"218","Pogoniulus_bilineatus","Pogoniulus","Lybiidae",12,8.5,"LC","Mixed","Small_birds"
"219","Pogoniulus_chrysoconus","Pogoniulus","Lybiidae",14,8.5,"LC","Mixed","Small_birds"
"220","Pogoniulus_scolopaceus","Pogoniulus","Lybiidae",15,8.5,"LC","Forest","Small_birds"
"221","Pogoniulus_subsulphureus","Pogoniulus","Lybiidae",10,8.5,"LC","Mixed","Small_birds"
"222","Poicephalus_gulielmi","Poicephalus","Psittacidae",275,10,"LC","Forest","Large_birds"
"223","Poicephalus_robustus","Poicephalus","Psittacidae",300,12.12,"VU","Forest","Large_birds"
"224","Potamochoerus_porcus","Potamochoerus","Suidae",70000,8.706621297,"LC","Forest",NA
"225","Potamochoerus_larvatus","Potamochoerus","Suidae",70000,5.770520833,"LC","Mixed","Suidae"
"226","Praomys_jacksoni","Praomys","Muridae",75,1.5,"LC","Forest","Rodents"
"227","Praomys_tullbergi","Praomys","Muridae",50,1.5,"LC","Forest","Rodents"
"228","Prinia_bairdii","Prinia","Cisticolidae",13,3.8,"LC","Mixed","Small_birds"
"229","Prionops_rufiventris","Prionops","Vangidae",52,7.8,"LC","Mixed","Small_birds"
"230","Procolobus_verus","Procolobus","Cercopithecidae",3950,9,"VU","Forest","Monkeys"
"231","Prodotiscus_insignis","Prodotiscus","Indicatoridae",10,5.8,"LC","Forest","Small_birds"
"232","Protoxerus_stangeri","Protoxerus","Sciuridae",900,3.5,"LC","Forest","Rodents"
"233","Psittacus_erithacus","Psittacus","Psittacidae",450,14.3,"EN","Mixed","Large_birds"
"234","Pycnonotus_barbatus","Pycnonotus","Pycnonotidae",40,2.7,"LC","Mixed","Small_birds"
"235","Rhynchocyon_cirnei","Rhynchocyon","Macroscelididae",500,2.363252361,"LC","Mixed","Rodents"
"236","Rousettus_aegyptiacus","Rousettus","Pteropodidae",125,5.069444444,"LC","Mixed","Bats"
"237","Scotonycteris_ophiodon","Scotonycteris","Pteropodidae",48,4.316085758,NA,"Forest","Bats"
"238","Scotonycteris_zenkeri","Scotonycteris","Pteropodidae",67,4.25,"NT","Forest","Bats"
"239","Serinus_citrinelloides","Serinus","Fringillidae",13,3.8,"LC","Mixed","Small_birds"
"240","Spermophaga_haematina","Spermophaga","Estrildidae",23,3,"LC","Mixed","Small_birds"
"241","Spermophaga_ruficapilla","Spermophaga","Estrildidae",24,3,"LC","Mixed","Small_birds"
"242","Stelgidillas_gracilirostris","Stelgidillas","Pycnonotidae",31,3.7,"LC","Mixed","Small_birds"
"243","Stizorhina_fraseri","Stizorhina","Turdidae",40,4.3,"LC","Mixed","Small_birds"
"244","Stochomys_longicaudatus","Stochomys","Muridae",150,1.5,"LC","Forest","Rodents"
"245","Streptopelia_hypopyrrha","Streptopelia","Columbidae",160,5.3,"LC","Mixed","Large_birds"
"246","Streptopelia_semitorquata","Streptopelia","Columbidae",230,5.3,"LC","Mixed","Large_birds"
"247","Sylvia_atricapilla","Sylvia","Sylviidae",17,4,"LC","Mixed","Small_birds"
"248","Sylvia_borin","Sylvia","Sylviidae",18,4,"LC","Mixed","Small_birds"
"249","Sylvietta_denti","Sylvietta","Macrosphenidae",9,5,"LC","Mixed","Small_birds"
"250","Tauraco_leucolophus","Tauraco","Musophagidae",215,3.3,"LC","Mixed","Large_birds"
"251","Tauraco_macrorhynchus","Tauraco","Musophagidae",230,3.3,"LC","Forest","Large_birds"
"252","Tauraco_persa","Tauraco","Musophagidae",260,3.3,"LC","Mixed","Large_birds"
"253","Tauraco_schalowi","Tauraco","Musophagidae",240,3.3,"LC","Mixed","Large_birds"
"254","Tauraco_schuettii","Tauraco","Musophagidae",250,3.3,"LC","Forest","Large_birds"
"255","Terpsiphone_viridis","Terpsiphone","Monarchidae",13,5.8,"LC","Mixed","Small_birds"
"256","Thescelocichla_leucopleura","Thescelocichla","Pycnonotidae",60,3.5,"LC","Mixed","Small_birds"
"257","Trachylaemus_purpuratus","Trachylaemus","Lybiidae",85,8.5,"LC","Mixed","Small_birds"
"258","Tragelaphus_eurycerus","Tragelaphus","Bovidae",3e+05,8,"NT","Mixed","Ungulate"
"259","Treron_calvus","Treron","Columbidae",200,4.2,"LC","Mixed","Large_birds"
"260","Tricholaema_hirsuta","Tricholaema","Lybiidae",60,8.5,"LC","Forest","Small_birds"
"261","Tricholaema_lacrymosa","Tricholaema","Lybiidae",25,8.5,"LC","Mixed","Small_birds"
"262","Turdus_olivaceus","Turdus","Turdidae",61,5.4,"LC","Mixed","Small_birds"
"263","Turdus_pelios","Turdus","Turdidae",65,6.1,"LC","Mixed","Small_birds"
"264","Turtur_afer","Turtur","Columbidae",70,8.5,"LC","Mixed","Small_birds"
"265","Turtur_tympanistria","Turtur","Columbidae",70,8.5,"LC","Mixed","Small_birds"
"266","Zosterops_kikuyuensis","Zosterops","Zosteropidae",19,3.5,"LC","Mixed","Small_birds"
"267","Zosterops_senegalensis","Zosterops","Zosteropidae",10,3.5,"LC","Mixed","Small_birds"
"268","Cephalophus_monticola","Cephalophus","Bovidae",5650,4.5,"LC","Forest","Mammal"
"269","Ceratogymna_cylindricus","Ceratogymna","Bucerotidae",1038,19,"VU","Forest","Large_birds"
"270","Allochrocebus_lhoesti","Allochrocebus","Cercopithecidae",3400,10,"VU","Forest","Mammal"
"271","Chlorocebus_djamdjamensis","Chlorocebus","Cercopithecidae",3300,NA,"VU","Forest","Mammal"
"272","Piliocolobus_badius","Procolobus","Cercopithecidae",7750,10,"EN","Mixed","Mammal"
"273","Loxodonta_africana","Loxodonta","Elephantidae",2850000,25,"EN","Mixed","Mammal"
"274","Papio_cynocephalus","Papio","Cercopithecidae",12950,NA,"LC","Mixed","Mammal"
